,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,experimentTime,totalTime,age
197,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,6,depth_duration_stimuli/002305_2014-06-28_19-56-50_260595134347_rgbf000102-resize_7/002305_2014-06-28_19-56-50_260595134347_rgbf000102-resize_7-target.png,500,4.8725,5.486400000000001,4057,500,feet,631587,777883,58.0
200,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,9,depth_duration_stimuli/001167_2014-06-17_15-38-07_260595134347_rgbf000108-resize_0/001167_2014-06-17_15-38-07_260595134347_rgbf000108-resize_0-target.png,500,1.8505,1.2192,2346,500,feet,631587,777883,58.0
203,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,12,depth_duration_stimuli/000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize_9/000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize_9-target.png,500,1.3545,1.2192,2217,501,feet,631587,777883,58.0
214,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,23,depth_duration_stimuli/002758_2014-06-22_19-11-20_094959634447_rgbf000128-resize_1/002758_2014-06-22_19-11-20_094959634447_rgbf000128-resize_1-target.png,500,2.555,2.4384,2505,500,feet,631587,777883,58.0
215,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,24,depth_duration_stimuli/002748_2014-06-22_19-07-22_094959634447_rgbf000078-resize_1/002748_2014-06-22_19-07-22_094959634447_rgbf000078-resize_1-target.png,500,4.6705,4.572,2601,500,feet,631587,777883,58.0
217,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,26,depth_duration_stimuli/001197_2014-06-17_16-01-50_260595134347_rgbf000103-resize_4/001197_2014-06-17_16-01-50_260595134347_rgbf000103-resize_4-target.png,500,3.4025,3.6576000000000004,2948,508,feet,631587,777883,58.0
225,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,34,depth_duration_stimuli/000635_2014-06-08_16-38-42_260595134347_rgbf000106-resize_1/000635_2014-06-08_16-38-42_260595134347_rgbf000106-resize_1-target.png,500,2.074,3.6576000000000004,2826,500,feet,631587,777883,58.0
228,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,37,depth_duration_stimuli/000906_2014-06-08_13-35-43_260595134347_rgbf000155-resize_1/000906_2014-06-08_13-35-43_260595134347_rgbf000155-resize_1-target.png,500,2.8489999999999998,4.2672,2184,499,feet,631587,777883,58.0
229,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,38,depth_duration_stimuli/001516_2014-06-20_16-25-09_260595134347_rgbf000076-resize_2/001516_2014-06-20_16-25-09_260595134347_rgbf000076-resize_2-target.png,500,1.7445,2.4384,1929,500,feet,631587,777883,58.0
233,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,42,depth_duration_stimuli/002995_2014-06-15_12-31-26_094959634447_rgbf000150-resize_1/002995_2014-06-15_12-31-26_094959634447_rgbf000150-resize_1-target.png,500,3.8360000000000003,6.096,2315,501,feet,631587,777883,58.0
