,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,experimentTime,totalTime,age,gender
0,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,1,depth_duration_stimuli/002425_2014-06-28_20-27-29_260595134347_rgbf000031-resize_8/002425_2014-06-28_20-27-29_260595134347_rgbf000031-resize_8-target.png,250,3.896,1.524,3114,249,feet,750381,902117,44,Man
3,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,4,depth_duration_stimuli/002725_2014-06-22_11-47-51_094959634447_rgbf000070-resize_1/002725_2014-06-22_11-47-51_094959634447_rgbf000070-resize_1-target.png,250,2.195,1.2192,2458,250,feet,750381,902117,44,Man
8,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,9,depth_duration_stimuli/002103_2014-06-25_20-00-40_260595134347_rgbf000049-resize_0/002103_2014-06-25_20-00-40_260595134347_rgbf000049-resize_0-target.png,250,4.105,2.1336,3315,250,feet,750381,902117,44,Man
11,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,12,depth_duration_stimuli/002953_2014-06-08_17-32-18_094959634447_rgbf000059-resize_5/002953_2014-06-08_17-32-18_094959634447_rgbf000059-resize_5-target.png,250,1.551,1.2192,2564,251,feet,750381,902117,44,Man
17,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,18,depth_duration_stimuli/001032_2014-06-08_13-23-17_260595134347_rgbf000021-resize_3/001032_2014-06-08_13-23-17_260595134347_rgbf000021-resize_3-target.png,250,3.2725,1.8288000000000002,3131,250,feet,750381,902117,44,Man
18,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,19,depth_duration_stimuli/002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize_4/002043_2014-06-24_20-29-38_260595134347_rgbf000039-resize_4-target.png,250,2.8435,1.8288000000000002,1699,250,feet,750381,902117,44,Man
19,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,20,depth_duration_stimuli/001197_2014-06-17_16-01-50_260595134347_rgbf000103-resize_4/001197_2014-06-17_16-01-50_260595134347_rgbf000103-resize_4-target.png,250,3.4025,1.8288000000000002,2227,250,feet,750381,902117,44,Man
25,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,26,depth_duration_stimuli/000635_2014-06-08_16-38-42_260595134347_rgbf000106-resize_1/000635_2014-06-08_16-38-42_260595134347_rgbf000106-resize_1-target.png,250,2.074,1.8288000000000002,1914,251,feet,750381,902117,44,Man
30,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,31,depth_duration_stimuli/001148_2014-06-17_15-26-42_260595134347_rgbf000129-resize_0/001148_2014-06-17_15-26-42_260595134347_rgbf000129-resize_0-target.png,250,4.368,2.1336,2739,249,feet,750381,902117,44,Man
32,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,33,depth_duration_stimuli/000486_2014-06-09_20-47-20_260595134347_rgbf000143-resize_2/000486_2014-06-09_20-47-20_260595134347_rgbf000143-resize_2-target.png,250,4.8325,1.524,2770,250,feet,750381,902117,44,Man
33,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,34,depth_duration_stimuli/002509_2014-06-24_13-19-22_094959634447_rgbf000077-resize_0/002509_2014-06-24_13-19-22_094959634447_rgbf000077-resize_0-target.png,250,1.3065,0.6096,1763,250,feet,750381,902117,44,Man
41,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,42,depth_duration_stimuli/003534_2014-05-22_15-06-10_094959634447_rgbf000102-resize_4/003534_2014-05-22_15-06-10_094959634447_rgbf000102-resize_4-target.png,250,1.426,0.6096,1611,250,feet,750381,902117,44,Man
48,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,49,depth_duration_stimuli/001055_2014-06-08_18-45-35_260595134347_rgbf000111-resize_4/001055_2014-06-08_18-45-35_260595134347_rgbf000111-resize_4-target.png,250,2.429,2.4384,3052,250,feet,750381,902117,44,Man
53,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,54,depth_duration_stimuli/002657_2014-06-13_15-29-54_094959634447_rgbf000150-resize_1/002657_2014-06-13_15-29-54_094959634447_rgbf000150-resize_1-target.png,250,4.919,1.524,2268,251,feet,750381,902117,44,Man
55,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,56,depth_duration_stimuli/002630_2014-06-24_14-47-50_094959634447_rgbf000055-resize_1/002630_2014-06-24_14-47-50_094959634447_rgbf000055-resize_1-target.png,250,3.0095,2.7432000000000003,2747,250,feet,750381,902117,44,Man
58,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,59,depth_duration_stimuli/000917_2014-06-09_22-45-29_260595134347_rgbf000149-resize_3/000917_2014-06-09_22-45-29_260595134347_rgbf000149-resize_3-target.png,250,4.1865,2.1336,2995,250,feet,750381,902117,44,Man
66,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,67,depth_duration_stimuli/000753_2014-06-08_21-57-44_260595134347_rgbf000123-resize_3/000753_2014-06-08_21-57-44_260595134347_rgbf000123-resize_3-target.png,250,1.916,0.9144000000000001,2595,250,feet,750381,902117,44,Man
70,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,71,depth_duration_stimuli/000555_2014-06-09_22-42-23_260595134347_rgbf000037-resize_4/000555_2014-06-09_22-42-23_260595134347_rgbf000037-resize_4-target.png,250,1.9765,1.2192,3162,251,feet,750381,902117,44,Man
76,710814,DepthScenes,duration_manipulation_targetAtFixation,jsons/ad_3.json,http://100.27.21.195/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#8,8,1600,789,1600,900,9-11-2021,14-50-23,77,depth_duration_stimuli/000869_2014-06-09_20-50-18_260595134347_rgbf000060-resize_3/000869_2014-06-09_20-50-18_260595134347_rgbf000060-resize_3-target.png,250,2.266,1.2192,1747,251,feet,750381,902117,44,Man
