,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,experimentTime,totalTime,age
198,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,7,depth_duration_stimuli/001056_2014-06-08_18-46-44_260595134347_rgbf000068-resize_0/001056_2014-06-08_18-46-44_260595134347_rgbf000068-resize_0-target.png,1000,2.6625,1.176731301939058,3450,1000,feet,631587,777883,58.0
201,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,10,depth_duration_stimuli/002637_2014-06-24_14-51-13_094959634447_rgbf000066-resize_4/002637_2014-06-24_14-51-13_094959634447_rgbf000066-resize_4-target.png,1000,1.9955,0.588365650969529,4091,1000,feet,631587,777883,58.0
211,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,20,depth_duration_stimuli/000720_2014-06-08_18-37-27_260595134347_rgbf000203-resize_4/000720_2014-06-08_18-37-27_260595134347_rgbf000203-resize_4-target.png,1000,1.558,0.4903047091412741,2937,1000,feet,631587,777883,58.0
218,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,27,depth_duration_stimuli/000447_2014-06-08_16-15-46_260595134347_rgbf000130-resize_1/000447_2014-06-08_16-15-46_260595134347_rgbf000130-resize_1-target.png,1000,4.479,1.6670360110803322,2874,1001,feet,631587,777883,58.0
222,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,31,depth_duration_stimuli/001066_2014-06-08_22-03-20_260595134347_rgbf000066-resize_4/001066_2014-06-08_22-03-20_260595134347_rgbf000066-resize_4-target.png,1000,4.2330000000000005,2.4515235457063707,2873,999,feet,631587,777883,58.0
226,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,35,depth_duration_stimuli/002468_2014-06-28_20-38-39_260595134347_rgbf000045-resize_1/002468_2014-06-28_20-38-39_260595134347_rgbf000045-resize_1-target.png,1000,1.956,1.9612188365650964,2682,1001,feet,631587,777883,58.0
227,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,36,depth_duration_stimuli/001188_2014-06-17_15-54-10_260595134347_rgbf000090-resize_2/001188_2014-06-17_15-54-10_260595134347_rgbf000090-resize_2-target.png,1000,2.7439999999999998,0.9806094182825482,2555,1000,feet,631587,777883,58.0
230,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,39,depth_duration_stimuli/003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize_1/003081_2014-06-15_15-19-16_094959634447_rgbf000150-resize_1-target.png,1000,3.9125,1.176731301939058,2537,998,feet,631587,777883,58.0
231,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,40,depth_duration_stimuli/001032_2014-06-08_13-23-17_260595134347_rgbf000021-resize_3/001032_2014-06-08_13-23-17_260595134347_rgbf000021-resize_3-target.png,1000,3.2725,0.7844875346260386,2922,999,feet,631587,777883,58.0
232,243745,DepthScenes,duration_manipulation,aw,http://54.165.233.113/DepthDuration/depth_duration_Mturk/DepthDuration_HTML.html#92,92,1024,768,1024,768,2-19-2021,10-10-37,41,depth_duration_stimuli/000773_2014-06-08_22-24-54_260595134347_rgbf000093-resize_1/000773_2014-06-08_22-24-54_260595134347_rgbf000093-resize_1-target.png,1000,4.973,1.6670360110803322,3177,1000,feet,631587,777883,58.0
